Gene,p-value,Fold Change,log2(Fold Change)
RIMS4,1.5167510261805909e-18,2.6024130911572296,1.3798499848311043
ADRBK1,1.522082831799808e-18,2.7542295442717992,1.461648802240583
SLC7A6,1.5260357229724456e-18,3.2948093441247206,1.7201949853414227
NFKB2,1.5302462174224928e-18,2.5967295672016917,1.3766957743658659
ZCCHC10,1.5312386735064978e-18,3.20632871475288,1.680922339040053
PTGR2 /// ZNF410,1.5321486849791932e-18,3.3058904345792195,1.7250389109252686
TMEM243,1.5333452028147867e-18,3.4395209033078524,1.7822076234860433
ACSS2,1.535749421949784e-18,3.596111460137847,1.8464377373418175
EYA3,1.5417239408533672e-18,3.161685162635005,1.6606937127565267
LYPD4,1.5431762337820631e-18,2.216158220171978,1.1480608846853768
CACNA1G,1.5455383605263737e-18,2.231045850327164,1.1577201627796836
LOC101926912,1.5521951241848164e-18,2.6820927205006146,1.4233591123707297
UPF1,1.5616812319477445e-18,3.1996899243045127,1.6779321031304102
RPL29P7 /// RPL29P7,1.567691202038381e-18,2.7944579845721957,1.4825684838555944
LOC286009,1.5774577894873377e-18,3.096899948643382,1.6308247747052942
AKAP8L,1.5823312359839266e-18,2.8828255832514422,1.5274835535202615
GGH,1.5825065382389864e-18,3.820173730489628,1.9336382493648345
HSPE1,1.5851168115555096e-18,3.59018075012493,1.8440564793532044
COPS3,1.5930715928388194e-18,3.247462268868252,1.6993127635999044
RAB35,1.5935260405980392e-18,3.0667101905745913,1.6166918358660614
ZNF717,1.5935830394073876e-18,3.0710966091056813,1.6187538966463868
LOC100130987,1.5956548844624322e-18,3.2508912634172313,1.7008353012290474
NSUN7,1.5974427521179255e-18,3.8996186449081063,1.9633330455131357
IRF2,1.598019644260092e-18,3.29621767706853,1.7208115189949318
BCL7A,1.5983360844911737e-18,2.979737505429838,1.5751852446825474
EIF2A,1.5990345389329805e-18,3.283389603076774,1.7151859485333978
TPRA1,1.6039132733496273e-18,3.0604469152014686,1.6137423441811423
CAMKK2,1.6057727542827199e-18,3.271347614486296,1.709885068821397
POGZ,1.6070463722992807e-18,3.304109063342778,1.7242613085935825
TUSC7,1.6104339003126372e-18,2.2491527105093274,1.1693816189703257
ADAL,1.6161365322080465e-18,3.017801337043841,1.5934978358529082
FAM201A,1.6176931700190943e-18,2.9362646558252146,1.553982009202509
FRZB,1.6254743213896803e-18,3.835905160479165,1.9395670513785124
CTC-471J1.2,1.6287073853819098e-18,3.19494724877724,1.6757921112800185
ANKRD6,1.629585487705041e-18,3.3414384728810838,1.7404693095644301
MYL10,1.6322130560061263e-18,3.0118952976888442,1.5906716185720673
RP11-884K10.7,1.6328998238873474e-18,3.064747043777336,1.6157680025463574
TFAP4,1.6351271978949091e-18,2.545760149541755,1.348096501184705
DPH7,1.6550591671410109e-18,3.197215888431572,1.676816163778691
UBE3B,1.6571869598776584e-18,3.089852814453131,1.6275381167976137
PAK1IP1,1.6575732437986174e-18,3.392192625738855,1.7622180956993903
C8orf44,1.6576986603871935e-18,3.104121219878184,1.6341848976997702
SPHK2,1.658681293918924e-18,3.166793423962254,1.663022760657728
LEMD1-AS1,1.6603464085339733e-18,2.302562128219674,1.2032400839453519
RAN,1.6610503261496736e-18,3.3335327805713235,1.737051914046143
OR51B5,1.6672750400534432e-18,2.559400451462521,1.3558058934266388
FAM179B,1.6715612971620289e-18,3.29783827960672,1.721520653193226
TEX10,1.6745384363838283e-18,3.1921497182734027,1.6745283184603597
MLYCD,1.6747183323350532e-18,3.1321635378370543,1.647159541194418
PI4K2A,1.6798472771951482e-18,3.1086371617230864,1.6362822360000384
GGA1,1.6801519951368284e-18,3.246160414302954,1.6987342947722204
C19orf44,1.6806710392247538e-18,2.843067673913691,1.5074484400839199
CTD-2537I9.16,1.6851905717883474e-18,2.6949202896837097,1.4302426015942176
SLC25A45,1.6873453623709577e-18,3.1227867209074205,1.6428340399968353
ACADM,1.687858146923505e-18,3.2859407192002075,1.7163064532376724
SLC10A7,1.6922975460843251e-18,3.167372192244038,1.663286405842546
UPRT,1.6923186656630643e-18,3.232956905824477,1.6928542769760058
ARL2BP,1.6957615557400516e-18,3.2472295382969554,1.6992093686271523
TPR,1.6970626112268185e-18,3.240223123300496,1.6960931611950305
SYS1,1.6976687582264937e-18,3.115184366719439,1.639317549150002
C3orf62 /// MIR4271 /// USP4,1.701712127539757e-18,3.1626592475277455,1.6611381248138513
PIGY /// PYURF,1.7081183795108485e-18,3.293252127402506,1.7195129671501
LINC01184 /// LOC101929964,1.710335199057235e-18,3.191143082814028,1.6740732968774505
TMEM41B,1.712888640532345e-18,3.3455696890271023,1.7422518962341822
DMKN,1.7179924952494088e-18,3.3101596071582784,1.7269007816561417
LOC730098,1.7199344086476108e-18,2.6545332548105045,1.408458215015867
METTL25,1.7202437118276208e-18,3.2316314253381746,1.6922626649341492
NECAP1,1.7268652583253904e-18,3.2723502285992843,1.7103271633235386
ZBTB1,1.7277557037957213e-18,3.253695413087598,1.7020792028864984
TRIM34 /// TRIM6-TRIM34,1.7318751838251073e-18,3.123974356730781,1.643382611108198
DEDD,1.7399523575021506e-18,3.1475044468914817,1.6542084162298378
ERI1,1.7407939726897913e-18,3.1791276883146886,1.668630962873771
CHURC1,1.7495095307017028e-18,3.5226854828147087,1.8166756719265016
VPS13C,1.7526610233494963e-18,3.2816293482878844,1.7144122993073097
LDOC1L,1.7616744794921696e-18,3.3084478283069223,1.7261545295361624
LINC00307,1.762266053350642e-18,2.2726689273014764,1.1843875338131744
AKR1C6P,1.764873409171838e-18,2.7146397330490055,1.4407607468947872
TSN,1.7670851941300587e-18,3.2439282176356996,1.6977418956320074
AP4S1,1.772763373422382e-18,3.1341301046045307,1.6480650704843138
LRRC37BP1,1.7744941880660783e-18,2.508565323556471,1.3268625066666597
